account,type,messages,users,urls
Coin919,group,988688,343,1781487
bcapp,group,988127,263,1869796
Nanyangdanbao_888,group,916381,8651,262902
MiFeng01,group,772357,11826,47966
usdc168,group,697905,3669,1170213
nanyangdb,group,597687,4341,115684
mood_a3,group,522937,2043,650
YVQQL,group,392681,1939,989
sultanategosdonate,group,366917,607,512
mq88000,group,331135,1187,2036
olddriver_cdq,group,317487,30424,243
z888888888888888888,group,257222,1035,110604
seo_666,group,249058,1161,2035
GOPA7424,group,218925,881,735
jstrgbv,group,183951,138,183951
CRICKET_MATCH_LIVE_LINE_SCORE,channel,182481,603858,26241
cn1949,group,167424,4297,83217
BybitSouthAfrica,group,149848,15838,5559
Keenetic_ru,group,127330,4965,5805
giantmilk,group,115795,1816,109344
giantcutie666,group,113359,8708,2756
Aby_akA,group,112419,621,177
live_score_line_match_psl,channel,109851,643109,3
vp777777777,group,106544,406,66705
ear100530,group,101913,338,0
Gh222Z,group,89884,409,4851
SecondLiveCommunity,group,89455,73784,4339
jmm88,group,74161,1159,10656
hash7CC,channel,70646,33621,0
j9tokenofficial,group,70637,5909,27370
sss1412sss,group,66960,3466,58161
KinhDownChat,group,65117,24721,1682
hljrl,group,60246,323,64
mifeng1230,group,58062,8619,2482
kf18uo,group,51927,68,69309
jslzh,group,49680,234,11350
sss145678,channel,48849,611,155
BGSD66,group,47725,2019,58998
xocxocloccoc9999,group,42514,17008,152
uNuM7ARft,group,41663,207,0
tracenetwork,group,38333,18671,2506
ubports,group,38096,3269,2264
WeedLash,channel,37926,16540,223
News18TamilNadu,channel,37665,20345,75051
so6789,group,35725,103,13632
teessideinternational,group,35545,4288,515
liwinscafunsta,group,35477,10085,3665
jslul,group,33555,6376,9559
ubports_porting,group,30931,1259,3801
UBportsOF,group,30820,328,2059
sgoder,group,28675,43909,1362
FAMOSSSF_C_B9999,channel,28215,28548,816
yes77info,group,27519,3665,13232
ak69988,group,24610,1362,33074
WelcomePlus,group,23950,3107,1946
AA821EE,group,23819,479,4
mifen5,group,21099,560,384
LostinMusic_CatchyBeatz,group,19703,498,129
msVufs,group,19363,3,8
sgodvvil,group,19106,42270,1170
qiushiyun,group,18581,2683,21
katongsters,group,18464,89,101
hmz0002,group,17352,607,2
sgodrejmall,group,16972,39351,1051
hfhfgfjfgjghjghj,group,16739,20780,235
koldowal,group,15830,72,76
WorldWideSudbury,group,15787,1404,23920
spgodclub,group,15170,25652,860
sprgodrej,group,15126,16043,844
seoyoutuberindonesia,group,14997,868,185
sideburnsandinquiries,group,14907,1008,50
cunganhemvebo6868,group,14202,1611,315
bailufakaboti,group,13761,12212,5094
fuckyouthatswhy,channel,13755,26754,9637
iptvitaliadaznsat3,channel,13253,53611,4479
Easy_Money_RS22,group,13188,238,11968
JSLM6,group,12816,13463,691
iptvitaliadaznsat,channel,12785,31959,12659
pk10vb68,group,12415,1627,64
haiwai3657,group,12411,655,5
AtillaYrtsvn,group,12148,4345,538
old_music123,group,12148,3143,24
fy8787,group,11757,57,16696
hwdbq1233,group,11675,20474,25
pk10livevip101010,group,11246,1883,104
indhutamilthisai,channel,11014,5790,20460
iptvdaznskynewbest,channel,10681,69422,5412
ocaershixkmyndl,group,10453,21,0
CnD_VIP,group,10225,504,445
oldlentach,channel,10167,324489,4144
kkk3shop,group,10153,2169,3276
UBPorts_ES,group,9945,517,723
SultanateofHeratia0764,group,9728,375,8
k500gk1,group,9477,1188,98
FrogKingOfficial,group,9410,324,693
DS889900,group,9198,68,16
Ak55l,group,9045,15,35
za33za33za,group,8951,37,92
South1,group,8873,163,212
gameofspecters,group,8467,121773,15
kkk6681A1,channel,8396,75,113
okxbeta,group,8254,107,6
x88888999,group,8135,73,5241
okxbeta777,group,8100,147,79
okxbeta3,group,8029,122,0
axp365fm,group,7950,49,2779
heimao9527,channel,7518,58743,10430
stewpeters,channel,7393,282427,8004
VB68BETatai,group,7269,3532,1013
haiguixiansheng888,group,7107,193,8851
minvb6836,group,7092,1652,411
X83O_1,group,6761,90,110
B6089333,channel,6696,421,5198
miooklp,group,6673,4590,1223
Sabinacosmetiks,group,6523,55155,33
VIPCoin_CN1,group,6518,3838,53
Oldax,channel,6328,81934,8
LeedsBeckettUniversity,group,6212,1454,2277
ssternenko,channel,6090,411021,1162
t4444t4t,group,5635,288,0
estarlinkk,channel,5532,177592,61
AXESET,channel,5448,22469,0
Online_Work_From_Home_Jobs,channel,5364,397388,4776
bazaarsingapore,group,5346,404,2406
rk69724,channel,5301,178,29
wekendlike,group,5285,766,4204
Health_Natural_Cosmetics_8,group,5182,2193,80
Kubernetes_CN,group,5164,1439,211
hasht_e_subh,channel,5049,9940,126
powerledger,group,4997,5074,818
